Id;Label;Name;Size
awake;awake;awake;53
yea;yea;yea;52
weather;weather;weather;52
unless;unless;unless;52
uh-uh;uh-uh;uh-uh;52
sugar;sugar;sugar;52
strength;strength;strength;52
slowly;slowly;slowly;52
recognize;recognize;recognize;52
police;police;police;52
nose;nose;nose;52
message;message;message;52
marry;marry;marry;52
limit;limit;limit;52
hustle;hustle;hustle;52
fantasy;fantasy;fantasy;52
escape;escape;escape;52
edge;edge;edge;52
cheese;cheese;cheese;52
bridge;bridge;bridge;52
within;within;within;51
uhh;uhh;uhh;51
super;super;super;51
smokin;smokin;smokin;51
serve;serve;serve;51
sand;sand;sand;51
rip;rip;rip;51
raw;raw;raw;51
nasty;nasty;nasty;51
murder;murder;murder;51
load;load;load;51
field;field;field;51
fallin;fallin;fallin;51
dub;dub;dub;51
dry;dry;dry;51
bomb;bomb;bomb;51
survive;survive;survive;50
sunshine;sunshine;sunshine;50
sheet;sheet;sheet;50
platinum;platinum;platinum;50
mix;mix;mix;50
hurry;hurry;hurry;50
dre;dre;dre;50
draw;draw;draw;50
crunk;crunk;crunk;50
crime;crime;crime;50
crawl;crawl;crawl;50
butt;butt;butt;50
bullet;bullet;bullet;50
attitude;attitude;attitude;50
aint;aint;aint;50
